Technology,Parameter,Value
Solar PV (Twh/yr),Estimated Renewable Energy Potential,26183
CSP (Twh/yr),Estimated Renewable Energy Potential,29716
Wind (CF 20%) (TWh/yr),Estimated Renewable Energy Potential,15196
Wind (CF 30%/yr) (TWh/yr),Estimated Renewable Energy Potential,497
Wind (CF 40%/yr) (TWh/yr),Estimated Renewable Energy Potential,4.9
Hydropower (MW),Estimated Renewable Energy Potential,600
Small Hydropower (MW),Estimated Renewable Energy Potential,120
Geothermal (MW),Estimated Renewable Energy Potential,0
