r,t,f,y,UseByTechnologyAnnual
RE1,DEMINDHEBIO,BIO,2031,18.6739
RE1,DEMINDHEBIO,BIO,2032,18.3574
RE1,DEMINDHEBIO,BIO,2033,18.0672
RE1,DEMINDHEBIO,BIO,2034,17.7999
RE1,DEMINDHEBIO,BIO,2035,18.3499
RE1,DEMINDHEBIO,BIO,2036,18.3459
RE1,DEMINDHEBIO,BIO,2037,18.3384
RE1,DEMINDHEBIO,BIO,2038,18.3279
RE1,DEMINDHEBIO,BIO,2039,18.315
RE1,DEMINDHEBIO,BIO,2040,18.2996
RE1,DEMINDHEBIO,BIO,2041,18.2083
RE1,DEMINDHEBIO,BIO,2042,18.1149
RE1,DEMINDHEBIO,BIO,2043,18.02
RE1,DEMINDHEBIO,BIO,2044,17.9237
RE1,DEMINDHEBIO,BIO,2045,17.8263
RE1,DEMINDHEBIO,BIO,2046,17.6524
RE1,DEMINDHEBIO,BIO,2047,17.4834
RE1,DEMINDHEBIO,BIO,2048,17.3191
RE1,DEMINDHEBIO,BIO,2049,9.6648
RE1,DEMINDHECOA,COA,2015,8.1033
RE1,DEMINDHECOA,COA,2016,8.5372
RE1,DEMINDHECOA,COA,2017,8.9943
RE1,DEMINDHECOA,COA,2018,9.4759
RE1,DEMINDHECOA,COA,2019,9.9832
RE1,DEMINDHECOA,COA,2020,10.5178
RE1,DEMINDHECOA,COA,2021,10.5572
RE1,DEMINDHECOA,COA,2022,10.5812
RE1,DEMINDHECOA,COA,2023,10.589
RE1,DEMINDHECOA,COA,2024,10.58
RE1,DEMINDHECOA,COA,2025,11.9801
RE1,DEMINDHECOA,COA,2026,13.1215
RE1,DEMINDHECOA,COA,2027,10.4221
RE1,DEMINDHECOA,COA,2028,10.3268
RE1,DEMINDHECOA,COA,2029,10.2102
RE1,DEMINDHECOA,COA,2030,10.0712
RE1,DEMINDHECOA,COA,2031,9.7147
RE1,DEMINDHECOA,COA,2032,9.3574
RE1,DEMINDHECOA,COA,2033,8.9958
RE1,DEMINDHECOA,COA,2034,12.5969
RE1,DEMINDHECOA,COA,2035,17.2472
RE1,DEMINDHECOA,COA,2036,17.8341
RE1,DEMINDHECOA,COA,2037,18.4377
RE1,DEMINDHECOA,COA,2042,4.2553
RE1,DEMINDHECOA,COA,2043,18.8268
RE1,DEMINDHECOA,COA,2044,19.4801
RE1,DEMINDHECOA,COA,2045,18.6959
RE1,DEMINDHECOA,COA,2046,16.9073
RE1,DEMINDHECOA,COA,2047,14.2344
