r,l,t,f,y,ProductionByTechnology
RE1,S102,DEMRESCKNOIL,RESCKN,2030,1.4299
RE1,S102,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S102,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S102,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S102,TEC087,ELC001,2030,8.1693
RE1,S103,MINBIO,BIO,2030,30.8264
RE1,S103,IMPCOA,COA,2030,1.2589
RE1,S103,IMPLFO,LFO,2030,31.4665
RE1,S103,MINNGS,NGS,2030,3.5437
RE1,S103,MINSOL,SOL,2030,0.4084
RE1,S103,MINWND,WND,2030,1.9926
RE1,S103,MINHYD,HYD,2030,1.8964
RE1,S103,PWRBIO001,COM027,2030,0.7841
RE1,S103,PWRNGS001,ELC001,2030,1.7037
RE1,S103,PWRHYD001,COM027,2030,1.1424
RE1,S103,PWRHYD002,ELC001,2030,0.4379
RE1,S103,PWRHYD003,ELC001,2030,0.2845
RE1,S103,PWRWND001,COM027,2030,0.9506
RE1,S103,PWRSOL001S,COM027,2030,0.3113
RE1,S103,PWRWND001S,COM027,2030,1.042
RE1,S103,PWRTRNIMP,ELC001,2030,1.552
RE1,S103,PWRTRN,ELC002,2030,7.9622
RE1,S103,PWRDIST,ELC003,2030,7.4697
RE1,S103,PWRSOL002,ELC003,2030,0.4084
RE1,S103,PWRHYD004,ELC003,2030,0.0316
RE1,S103,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S103,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S103,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S103,DEMTRABUSGSL,TRABUS,2030,3.2641
RE1,S103,INDENEFFDP,INDELC,2030,2.9265
RE1,S103,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S103,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S103,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S103,DEMRESCKNELC,RESCKN,2030,1.2162
RE1,S103,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S103,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S103,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S103,TEC087,ELC001,2030,4.2304
RE1,S104,MINBIO,BIO,2030,30.8264
RE1,S104,IMPCOA,COA,2030,1.2589
RE1,S104,IMPLFO,LFO,2030,31.4665
RE1,S104,MINNGS,NGS,2030,2.5835
RE1,S104,MINSOL,SOL,2030,4.6291
RE1,S104,MINWND,WND,2030,1.8294
RE1,S104,MINHYD,HYD,2030,1.8964
RE1,S104,PWRBIO001,COM027,2030,0.7841
RE1,S104,PWRNGS001,ELC001,2030,1.2421
RE1,S104,PWRSOL001,COM027,2030,2.1788
RE1,S104,PWRHYD001,COM027,2030,1.1424
RE1,S104,PWRHYD002,ELC001,2030,0.4379
RE1,S104,PWRHYD003,ELC001,2030,0.2845
RE1,S104,PWRWND001,COM027,2030,0.7874
RE1,S104,PWRSOL001S,COM027,2030,1.8675
RE1,S104,PWRWND001S,COM027,2030,1.042
RE1,S104,PWRTRN,ELC002,2030,9.3793
RE1,S104,PWRDIST,ELC003,2030,8.7991
RE1,S104,PWRSOL002,ELC003,2030,2.4503
RE1,S104,PWRHYD004,ELC003,2030,0.0316
RE1,S104,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S104,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S104,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S104,DEMTRABUSGSL,TRABUS,2030,2.171
RE1,S104,DEMINDELC,INDELC,2030,0.4931
RE1,S104,INDENEFFDP,INDELC,2030,2.9265
RE1,S104,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S104,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S104,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S104,DEMRESCKNELC,RESCKN,2030,3.9573
RE1,S104,DEMRESCKNOIL,RESCKN,2030,2.405
RE1,S104,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S104,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S104,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S104,TEC087,ELC001,2030,7.8022
RE1,S105,MINBIO,BIO,2030,30.8264
RE1,S105,IMPCOA,COA,2030,1.2589
RE1,S105,IMPLFO,LFO,2030,31.4665
RE1,S105,MINNGS,NGS,2030,3.5437
RE1,S105,MINSOL,SOL,2030,0.4039
RE1,S105,MINWND,WND,2030,2.4978
RE1,S105,MINHYD,HYD,2030,1.1593
RE1,S105,PWRBIO001,COM027,2030,0.7841
RE1,S105,PWRNGS001,ELC001,2030,1.7037
RE1,S105,PWRHYD001,COM027,2030,0.6984
RE1,S105,PWRHYD002,ELC001,2030,0.2677
RE1,S105,PWRHYD003,ELC001,2030,0.1739
RE1,S105,PWRWND001,COM027,2030,1.4557
RE1,S105,PWRSOL001S,COM027,2030,0.3078
RE1,S105,PWRWND001S,COM027,2030,1.042
RE1,S105,PWRTRNIMP,ELC001,2030,1.552
RE1,S105,PWRTRN,ELC002,2030,7.7457
RE1,S105,PWRDIST,ELC003,2030,7.2666
RE1,S105,PWRSOL002,ELC003,2030,0.4039
RE1,S105,PWRHYD004,ELC003,2030,0.0193
RE1,S105,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S105,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S105,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S105,DEMTRABUSGSL,TRABUS,2030,3.2641
RE1,S105,INDENEFFDP,INDELC,2030,2.6158
RE1,S105,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S105,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S105,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S105,DEMRESCKNELC,RESCKN,2030,1.2345
RE1,S105,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S105,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S105,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S105,TEC087,ELC001,2030,4.288
RE1,S106,MINBIO,BIO,2030,30.8264
RE1,S106,IMPCOA,COA,2030,1.2589
RE1,S106,IMPLFO,LFO,2030,31.4665
RE1,S106,MINNGS,NGS,2030,3.4329
RE1,S106,MINSOL,SOL,2030,4.5784
RE1,S106,MINWND,WND,2030,2.1903
RE1,S106,MINHYD,HYD,2030,1.1593
RE1,S106,PWRBIO001,COM027,2030,0.7841
RE1,S106,PWRNGS001,ELC001,2030,1.6504
RE1,S106,PWRSOL001,COM027,2030,2.1549
RE1,S106,PWRHYD001,COM027,2030,0.6984
RE1,S106,PWRHYD002,ELC001,2030,0.2677
RE1,S106,PWRHYD003,ELC001,2030,0.1739
RE1,S106,PWRWND001,COM027,2030,1.1482
RE1,S106,PWRSOL001S,COM027,2030,1.8471
RE1,S106,PWRWND001S,COM027,2030,1.042
RE1,S106,PWRTRN,ELC002,2030,9.3793
RE1,S106,PWRDIST,ELC003,2030,8.7991
RE1,S106,PWRSOL002,ELC003,2030,2.4234
RE1,S106,PWRHYD004,ELC003,2030,0.0193
RE1,S106,DEMTRAEVC,ELCEV,2030,3.9473
RE1,S106,DEMTRAMCYELC,TRAMCY,2030,3.5561
RE1,S106,DEMTRACARGSL,TRACAR,2030,3.5561
RE1,S106,DEMTRABUSGSL,TRABUS,2030,2.171
RE1,S106,DEMINDELC,INDELC,2030,0.1395
RE1,S106,INDENEFFDP,INDELC,2030,2.9265
RE1,S106,DEMINDHECOA,INDHEH,2030,1.0197
RE1,S106,DEMINDHEOIL,INDHEH,2030,0.5099
RE1,S106,DEMINDHEBIO,INDHEL,2030,1.9497
RE1,S106,DEMRESCKNELC,RESCKN,2030,4.2568
RE1,S106,DEMRESCKNOIL,RESCKN,2030,2.405
RE1,S106,DEMRESCKNBIO,RESCKN,2030,4.0356
RE1,S106,DEMRESHEBIO,RESHEL,2030,3.0929
RE1,S106,DEMCOMHEBIO,COMHEL,2030,0.0305
RE1,S106,TEC087,ELC001,2030,7.6747
RE1,S107,MINBIO,BIO,2030,30.8264
RE1,S107,IMPCOA,COA,2030,1.2589
RE1,S107,IMPLFO,LFO,2030,31.4665
RE1,S107,MINNGS,NGS,2030,3.5437
RE1,S107,MINSOL,SOL,2030,0.4477
