y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.5189025927734353,2.7834637964774958,0.00013046314416177433,0.0
2016,1.1517826635655468,2.691476552598225,0.00012674271229404308,0.0
2017,1.4566079132013325,2.591814837522992,0.00013488657265481302,0.0
2018,1.6689030278067472,2.56424387328153,0.00012552301255230126,0.0
2019,1.7181998557050389,2.634449230769231,0.00012307692307692307,0.0
2020,1.8320700561159373,2.7895734908136487,0.00011811023622047246,0.0
2021,4.632532806976717,2.43603707995365,0.00012746234067207416,0.0
2022,6.733924688616474,2.0154031510658013,0.00012511584800741429,2.735827154772938
2023,6.8341231350720255,1.7383998535335041,0.00012083485902599781,3.9030968143756746
2024,7.857758963209898,1.7899292536257516,0.0001238061549345596,3.8982973919612487
2025,11.417431314817652,1.9530812499999999,0.0001390625,3.4974331291014082
2026,11.434612779126251,1.9377536447485866,0.000139839333531687,3.5900302859651183
2027,12.776230053471192,2.054704250036513,0.00014750985833211625,3.477612928577882
2028,13.612583378783166,2.2636718092566626,0.000150070126227209,3.402582561719685
2029,17.968981459971616,3.5910329670329673,0.00016117216117216118,2.8859428889121226
2030,20.734501148525936,4.0427428144032485,0.00015706806282722515,2.4483653168186787
2031,22.027421491460466,4.213088620342397,0.00015407854984894262,2.2030885486606997
2032,23.652044353171096,4.497072767900515,0.00015738851646750218,2.0223888599145528
2033,24.41188940055165,4.584969719214535,0.00015966232336208478,1.9648961487425785
2034,25.1876723638728,4.610384962134872,0.00015957446808510637,1.8074502083857846
2035,26.614403912475417,4.848146236900604,0.0001683073991743411,1.967975925750735
2036,26.73739962955385,4.858681221419089,0.00016890396813689336,2.032018162913437
2037,26.89027044550328,4.847212172205862,0.00017038283550694153,2.0173607861994873
2038,21.83783798845921,3.940127086494688,0.0001512708649468892,1.9382737714594545
2039,22.77886173803302,4.131143969240992,0.00015426971092229552,1.9290566220656566
2040,24.016193822294213,4.323071509985629,0.00015808513801476783,1.9837389606630016
2041,25.95266874126593,4.684065577205112,0.00016289545359312802,1.9983543685529808
2042,27.60148275675192,4.990159034823142,0.00016561557444474907,1.7377503827770662
2043,29.916263444807242,5.4535940668636655,0.00016918709079320938,1.101213948052794
2044,31.731761279917585,5.830042545541707,0.00016778523489932888,0.7947845153126982
2045,33.20403821591403,6.157434375573641,0.0001670439943706786,0.5259915560178671
2046,33.943200549720146,6.350861162079511,0.00016697247706422017,0.3525149847094801
2047,33.96829971211619,6.406831381453154,0.00016790152963671126,0.27371355162523897
2048,34.28222589503961,6.469604364824647,0.00017039155044640253,0.18858318258738405
2049,35.49240432813129,6.533070085470085,0.00017094017094017094,0.09564558404558404
2050,34.7286992259612,6.360629173989455,0.00017179261862917397,0.0
2051,34.67134200727896,6.334112478031633,0.00017231771614728447,0.0
2052,33.87479360869214,6.265797198411039,0.00017227681371524147,0.0
2053,33.65415260781349,6.20953136471164,0.00017252630720287134,0.0
2054,35.886741212175366,6.172747125979553,0.0001710489677393691,0.0
2055,35.38525430330139,6.149891776570985,0.00017106283941039564,0.0
2056,35.5838796346796,6.110568856613336,0.0001705813381746662,0.0
2057,35.420160174388336,6.019066268392521,0.0001707416012095733,0.0
2058,35.36180879212982,5.999686522630046,0.00017111838084624508,0.0
2059,33.936245851715015,5.980879910291901,0.00017030521778743388,0.0
2060,32.82841140345913,5.962359711738787,0.00017111240137982853,0.0
2061,32.293121352330594,5.947968425286585,0.00017061071260977408,0.0
2062,31.796510423640846,5.933729811519358,0.00017071806848458932,0.0
2063,31.868876851994624,5.751269528728212,0.00017043253712072305,0.0
2064,31.714287332569917,5.734297162042315,0.00017072089192955782,0.0
2065,30.196520884670953,5.556957575757576,0.00017062937062937061,0.0
2066,29.561540939814197,5.476985637178666,0.00017076815173970052,0.0
2067,29.197580083231404,5.448621308679652,0.0001705412440534961,0.0
2068,27.310714114583366,5.36877036428215,0.00016995919805089967,0.0
2069,27.174084984345278,5.364947013764903,0.0001696135460461902,0.0
2070,26.12916703408174,5.072740605764316,0.00017044065687429167,0.0
