y,Capital costs,Fixed costs,Variable costs,Fuel costs
2015,0.5189025927734353,2.7834637964774958,0.00013046314416177433,0.0
2016,1.1517826635655468,2.691476552598225,0.00012674271229404308,0.0
2017,1.4566079132013325,2.591814837522992,0.00013488657265481302,0.0
2018,1.6689030278067472,2.56424387328153,0.00012552301255230126,0.0
2019,1.7181998557050389,2.634449230769231,0.00012307692307692307,0.0
2020,1.8320700561159373,2.7895734908136487,0.00011811023622047246,0.0
2021,3.449691243468231,2.3288997214484684,0.00012999071494893222,0.0
2022,7.258227554786391,2.272144886363636,0.00013352272727272727,1.3549160346701874
2023,10.567650541691547,2.7482802093244527,0.00014509990485252143,1.9478993314482433
2024,11.758453831476416,2.7796595992997464,0.00014588601439408674,2.8026380800757265
2025,14.938617743319975,2.842974726775956,0.00016222677595628416,2.5276826691973304
2026,14.202880547852796,2.7126708365910863,0.00015793588741204066,2.9218672479399594
2027,14.274928470509183,2.5637945707997063,0.000157006603081438,3.3251637857787797
2028,15.587339153533636,2.670331412103746,0.00016282420749279538,2.999290425155488
2029,15.381016281194327,2.619594008671659,0.0001589804230718697,3.6946632505584027
2030,15.38021767695639,2.5731442403177756,0.00015888778550148956,3.8980873203639854
2031,14.701216810845478,2.420279416675944,0.0001536235110764778,4.405475202666249
2032,14.478158435943813,2.4036329588014986,0.00015293383270911364,4.911710806013006
2033,14.463391306771518,2.3531903672007157,0.00015225395561747437,5.088145255849066
2034,14.78166712039695,2.324889481707317,0.00015053353658536585,5.232346876784763
2035,17.761392589240444,3.198805429022962,0.00016361439062935766,4.500630716806302
2036,17.78480832347042,3.1512023151802158,0.000163114969744804,4.6377561103329645
2037,17.783591297484083,3.114637273554471,0.00016461245760608816,4.770058494720716
2038,17.849412249229545,3.056074131876706,0.00016387046429964885,4.897241657438841
2039,18.964841287705333,3.298476967663209,0.00016625991458206225,4.46767656607711
2040,19.928019424318034,3.441303023711116,0.00016460010151548112,4.158583685220839
2041,20.32016885889037,3.4862997347480102,0.00016473544604216113,4.023611999678657
2042,20.61061083066148,3.510764942914707,0.00016521155137676295,3.9302756883854872
2043,20.90721393504781,3.5388047551363226,0.00016474996769608478,3.834333405588769
2044,21.168621198333422,3.5733643815201184,0.00016393442622950817,3.7489020191860654
2045,21.418615325598623,3.6701552609578405,0.000166606950913651,3.6260119177012053
2046,22.08557637327543,3.793018163583686,0.0001638065522620905,3.3239742863709303
2047,21.758556215700718,3.769288788686206,0.00016294322607091614,3.524846650241527
2048,21.22456285787443,3.6958876615746172,0.0001602820211515863,3.7644937250293764
2049,21.351361915529054,3.631843974703284,0.00015810447890496403,3.9711611329717456
2050,20.879410704330063,3.527090608219918,0.00015973793522677384,4.298503176299103
2051,21.291603339993728,3.6865299400267237,0.0001606538019328175,4.214160941540583
2052,20.992080106693397,3.7335909510893854,0.00016094900301034246,4.195592426911602
2053,20.90937595781737,3.7739241773962804,0.00016194563662374822,4.182053909129508
2054,20.830063944393295,3.810279893321602,0.0001616672623793682,4.170615182231274
2055,20.20786354457302,3.8428924264861437,0.00016183625978421833,4.160936566244598
2056,20.290136784269265,3.872166221204022,0.00016265750286368843,4.152939905729519
2057,20.320744520703624,3.898174640151051,0.0001630661337387509,4.146247047581508
2058,20.41640100268048,3.963466004914952,0.0001638317351708187,4.042708157958747
2059,20.637913638735792,4.036905038254731,0.00016533623895587086,3.9303972123862616
2060,21.239523206553784,4.044511213674421,0.0001655959366375212,4.134228884470818
2061,21.54528276733452,4.114953593089505,0.00016632971880169086,4.069382141094087
2062,21.906458041958043,4.184579892157532,0.00016790662753395674,3.9245210596066378
2063,22.39537603770071,4.217491968638375,0.00016871475748657695,3.8345239414705232
2064,22.910094041743136,4.246976806066788,0.0001691871036409597,3.751036631336201
2065,22.486123749838573,4.246739737991267,0.00016855895196506547,3.711005961172639
2066,22.387791334031284,4.228920427807487,0.00016877005347593586,3.7670225247501405
2067,22.235530335693664,4.1911450158012595,0.00016847700969004414,3.8519145028421287
2068,21.95613332536365,4.143866020489541,0.00016747438807435128,3.944584767299788
2069,21.70450487780526,4.082183636254333,0.000166923832234535,3.9974429756872674
2070,23.276034918185502,4.192347497559113,0.0001823237254319311,2.5358137038712982
